Driver,CleanAirRacePace (s)
NOR,87.95796681222707
HAM,87.99858076923077
PIA,88.11267857142857
SAI,88.11452128666036
VER,88.13859652333029
LEC,88.19860530973452
RUS,88.25423928571429
HUL,90.5244616915423
GAS,88.91867071823204
TSU,89.37616685456595
STR,89.53571047008548
ALB,89.65372986369269
ALO,89.79116370808678
OCO,89.89775745118198
